	cluster
pre-DC-2__PT08__Relapse	U1
preNeu__2270_Aft36_P71F	U1
MKP-late__AML52-Azacitidine	U1
B Memory-1__PAXMIJ-Relapse	U1
ERP-4__1827_Af_N1c	U1
BMCP-1__AML5292	U1
LMPP-1__AML5292	U1
cDC2-2__AML-14	U1
cDC2-2__PT08__Relapse	U1
cDC2-1__AML-14	U1
LMPP-1-cycling__AML5292	U1
MEP-2__1827_Af_N1c	U1
MEP-2__1744_E_N1c	U1
MPP-MEP__AML-10	U1
MPP-MEP__AML-14_CCHMC	U1
ERP-8__AML-11	U1
T CD4 Activated__PAXMIJ	U1
MPP-MEP__AML-12_CCHMC	U1
MEP-2__AML-12_CCHMC	U1
T CD4 Naive-1__PAXMIJ	U1
pre-B__PAXMIJ	U1
MEP-1__AML-12_CCHMC	U1
Erythroblast-2__HTO2-SRR16208956	U1
CLP__PT01_PT10__D30	U1
MEP-Eryth-2__PT06__Diagnosis	U1
MEP-2__PT06__Diagnosis	U1
MPP-MEP__220882__Relapse	U1
MEP-1__PT06__Diagnosis	U1
MEP-1__AML-11	U1
MEP-Eryth-1__220882__Relapse	U1
MEP-1__220882__Diagnosis	U1
MEP-2__220882__Diagnosis	U1
MPP-MEP__220882__Diagnosis	U1
MPP-MEP__PT02__Diagnosis	U1
MEP-2__PT02__Diagnosis	U1
MEP-1__PT02__Diagnosis	U1
pDC__PT02__D30	U1
Erythroblast-3__AML-12_CCHMC	U1
MPP-1__PT01_PT10__D30	U1
Multilin-1__PT01_PT10__D30	U1
NK-Mature__PT01_PT10__D30	U1
MEP-2__PT01__Diagnosis	U1
BMCP-1__AML-12_CCHMC	U1
Intermediate Mono-1__PT02__D30	U1
MPP-MEP__HTO2-SRR16208955	U1
MEP-2__1893_Af_N1c	U1
MPP-MEP__PAXMIJ	U1
Classical-Mono__PAXMIJ	U1
MPP-MEP__1893_Af_N1c	U1
MEP-2__AML-14_CCHMC	U1
MEP-1__AML-14_CCHMC	U1
LMPP-1-cycling__2270_Aft36_P71F	U1
HSC-2__2270_Aft36_P71F	U1
ERP-4__2270_Aft36_P71F	U1
ERP-2__2270_Aft36_P71F	U1
