	cluster
Multilin-1__AML4897	U11
MultiLin-GMP-1__AML4897	U11
Mono-2__AML4897	U11
Classical-Mono__AML4897	U11
B Memory-1__AML4897	U11
pDC__AML4340	U11
T CD4 Activated__AML4340	U11
NK-Mature__AML4340	U11
MAIT__AML4340	U11
Classical-Mono__AML4340	U11
CD8 TEM__HTO3-SRR16208954	U11
CD4 TCM__AML4340	U11
B Memory-1__1239_EST8_44M_N1c	U11
CD8 TEM__1239_EST8_44M_N1c	U11
MAIT__AML3948	U11
CD8 TEM__AML3948	U11
T CD4 Naive-1__AML3762	U11
T CD4 Activated__AML3762	U11
NK-Mature__AML3762	U11
MAIT__AML3762	U11
CD8 TEM__AML3762	U11
CD4 TCM__AML3762	U11
cDC2-2__AML3730	U11
cDC1__AML3730	U11
T CD4 Naive-1__AML3730	U11
NK-Mature__AML3730	U11
Multilin-1__2853_Aft36_P71F	U11
MAIT__AML1896	U11
B Memory-1__AML1896	U11
B Memory-1__2660_Ast82_38M	U11
CD4 TCM__2660_Ast82_38M	U11
CD8 TEM__2660_Ast82_38M	U11
NK-Mature__AML0361	U11
MAIT__AML0361	U11
Intermediate Mono-3__AML0361	U11
MAIT__2660_Ast82_38M	U11
Intermediate Mono-2__AML0361	U11
CD8 TEM__AML0361	U11
CD4 TCM__AML0361	U11
MultiLin-GMP-1__2660_Ast82_38M	U11
Myeloid intermediate 2__2660_Ast82_38M	U11
NK-Mature__2660_Ast82_38M	U11
T CD4 Activated__2660_Ast82_38M	U11
T CD4 Naive-1__2660_Ast82_38M	U11
T CD8 Naive__2660_Ast82_38M	U11
Erythroblast-2__AML033	U11
CD8 TEM__AML033	U11
Mono-2__AML0310	U11
MAIT__AML0310	U11
Classical-Mono__AML0310	U11
CD4 TCM__AML0310	U11
B Memory-1__AML0310	U11
CD4 TCM__2853_Aft36_P71F	U11
CD8 TEM__2853_Aft36_P71F	U11
MAIT__2853_Aft36_P71F	U11
MDP-2__2853_Aft36_P71F	U11
cDC2-2__AML0361	U11
CD8 TEM__AML1896	U11
pre-DC-3__AML0361	U11
CD8 TEM__2270_Aft36_P71F	U11
T CD4 Activated__AML1552	U11
CD4 TCM__1827_Af_N1c	U11
CD8 TEM__1827_Af_N1c	U11
CD8 TEM__AML1371	U11
MAIT__1827_Af_N1c	U11
MultiLin-GMP-1__1827_Af_N1c	U11
NK-Mature__1827_Af_N1c	U11
T CD4 Activated__1827_Af_N1c	U11
T CD4 Naive-1__1827_Af_N1c	U11
MAIT__AML073	U11
CD8 TEM__AML073	U11
T CD4 Activated__AML0693	U11
MKP-early__AML0693	U11
CD8 TEM__1906_Aft82_P36M	U11
T CD4 Naive-1__AML0612	U11
T CD4 Activated__AML0612	U11
NK-Mature__AML0612	U11
MAIT__AML0612	U11
NK-Mature__1906_Aft82_P36M	U11
T CD4 Naive-1__1906_Aft82_P36M	U11
T CD8 Naive__1906_Aft82_P36M	U11
Erythroblast-3__AML0612	U11
CD8 TEM__AML0612	U11
CD4 TCM__AML0612	U11
CD8 TEM__AML055	U11
B Memory-1__AML055	U11
Plasma Cell__220882__Treatment	U11
MK-Platelet__2270_Aft36_P71F	U11
MAIT__HTO3-SRR16208954	U11
CD4 TCM__AML026	U11
T CD4 Activated__HTO3-SRR16208954	U11
