	cluster
Non-Classical Mono-2__827494__Diagnosis	U12
Non-Classical Mono-2__AML-19-R2	U12
cDC2-1__10DD-1002__Treatment	U12
Mono-2__10DD-1009__Diagnosis	U12
Intermediate Mono-2__10DD-1003__Diagnosis	U12
Non-Classical Mono-2__10DD-1009__Diagnosis	U12
Mono-2__430998__Diagnosis	U12
Intermediate Mono-2__827494__Diagnosis	U12
Non-Classical Mono-2__430998__Diagnosis	U12
cDC2-2__430998__Diagnosis	U12
Intermediate Mono-1__827494__Diagnosis	U12
cDC2-2__10DD-1002__Treatment	U12
pre-DC-2__10DD-1002__Treatment	U12
cDC2-2__AML-14	U12
Classical-Mono__10DD-1003__Diagnosis	U12
cDC2-1__430998__Diagnosis	U12
Intermediate Mono-3__430998__Diagnosis	U12
Intermediate Mono-2__430998__Diagnosis	U12
Intermediate Mono-2__10DD-1010__Diagnosis	U12
Intermediate Mono-2__10DD-1010__Relapse	U12
Intermediate Mono-1__10DD-1010__Relapse	U12
Intermediate Mono-3__827494__Diagnosis	U12
Classical-Mono__430998__Diagnosis	U12
Myeloid intermediate 3__10DD-1002__Treatment	U12
pre-DC-2__10DD-1010__Diagnosis	U12
cDC2-1__10DD-1010__Diagnosis	U12
cDC1__10DD-1010__Diagnosis	U12
Intermediate Mono-1__430998__Diagnosis	U12
Non-Classical Mono-2__10DD-1002__Treatment	U12
Mono-2__10DD-1010__Diagnosis	U12
Mono-1__10DD-1010__Diagnosis	U12
cDC1__10DD-1002__Treatment	U12
Intermediate Mono-3__10DD-1010__Diagnosis	U12
Intermediate Mono-3__10DD-1003__Diagnosis	U12
cDC2-1__827494__Diagnosis	U12
Non-Classical Mono-2__10DD-1002__Diagnosis	U12
Mono-1__10DD-1051__Diagnosis	U12
Classical-Mono__10DD-1051__Treatment	U12
Classical-Mono__10DD-1058__Diagnosis	U12
Intermediate Mono-1__10DD-1058__Diagnosis	U12
Intermediate Mono-2__10DD-1061__Diagnosis	U12
Intermediate Mono-2__10DD-1058__Treatment	U12
pre-DC-3__10DD-1003__Relapse	U12
cDC2-1__10DD-1003__Diagnosis	U12
cDC1__10DD-1003__Relapse	U12
Intermediate Mono-2__10DD-1058__Diagnosis	U12
Intermediate Mono-2__10DD-1002__Diagnosis	U12
Mono-2__10DD-1003__Relapse	U12
Non-Classical Mono-2__10DD-1003__Relapse	U12
Intermediate Mono-1__10DD-1061__Diagnosis	U12
Intermediate Mono-1__10DD-1002__Diagnosis	U12
Mono-2__10DD-1058__Diagnosis	U12
Non-Classical Mono-2__10DD-1058__Diagnosis	U12
cDC2-1__10DD-1003__Relapse	U12
Classical-Mono__10DD-1061__Diagnosis	U12
Myeloid intermediate 3__10DD-1002__Diagnosis	U12
cDC2-2__10DD-1003__Diagnosis	U12
Mono-1__10DD-1003__Relapse	U12
cDC2-2__10DD-1003__Relapse	U12
Non-Classical Mono-2__AML-19-Dx2	U12
Intermediate Mono-3__10DD-1002__Diagnosis	U12
Non-Classical Mono-2__10DD-1051__Treatment	U12
Classical-Mono__10DD-1058__Treatment	U12
Classical-Mono__10DD-1003__Relapse	U12
cDC2-2__452198__Diagnosis	U12
cDC2-1__10DD-1061__Diagnosis	U12
Intermediate Mono-2__AML-19-R2	U12
Intermediate Mono-2__10DD-1003__Relapse	U12
Non-Classical Mono-2__10DD-1061__Diagnosis	U12
cDC2-2__922185__Diagnosis	U12
Intermediate Mono-3__10DD-1003__Relapse	U12
Intermediate Mono-1__10DD-1051__Treatment	U12
Intermediate Mono-1__10DD-1058__Treatment	U12
Classical-Mono__10DD-1002__Diagnosis	U12
Intermediate Mono-2__10DD-1051__Treatment	U12
Intermediate Mono-3__10DD-1051__Treatment	U12
Myeloid intermediate 2__10DD-1002__Diagnosis	U12
Mono-2__10DD-1002__Diagnosis	U12
Intermediate Mono-3__10DD-1061__Diagnosis	U12
Mono-2__10DD-1051__Treatment	U12
Mono-1__10DD-1002__Diagnosis	U12
Mono-2__10DD-1058__Treatment	U12
Non-Classical Mono-2__AML0160	U14
Non-Classical Mono-1__PT11__D30	U14
cMOP__AML-16	U14
MDP-1__AML-12	U14
Non-Classical Mono-2__AML2451	U14
Mono-1__AML-16	U14
