	cluster
NK-Mature__10DD-1086__Diagnosis	U1
MAIT__10DD-1086__Diagnosis	U1
ASDC__10DD-1070__Treatment	U1
immNeu-2__P11__Relapse	U1
cMOP__P11__Relapse	U1
Intermediate Mono-3__868442__Diagnosis	U1
MPP-MEP__P05__Diagnosis	U1
MultiLin-GMP-1__P05__Diagnosis	U1
Multilin-1__P05__Diagnosis	U1
Multilin-2__P05__Diagnosis	U1
NK-Mature__P05__Diagnosis	U1
T CD4 Naive-1__P05__Diagnosis	U1
LMPP-1__868442__Diagnosis	U1
LMPP-1-cycling__868442__Diagnosis	U1
CD4 TCM__P05__Relapse	U1
CLP__P05__Relapse	U1
MKP-early__P05__Diagnosis	U1
ERP-1__P05__Relapse	U1
MEP-1__868442__Diagnosis	U1
HSC-2__P05__Relapse	U1
LMPP-1__P05__Relapse	U1
LMPP-1-cycling__P05__Relapse	U1
LMPP-2__P05__Relapse	U1
MAIT__P05__Relapse	U1
MDP-1__P05__Relapse	U1
MDP-2__P05__Relapse	U1
MEP-2__868442__Diagnosis	U1
MEP-2__P05__Relapse	U1
MEP-Eryth-1__P05__Relapse	U1
MDP-2__868442__Diagnosis	U1
Intermediate Mono-2__868442__Diagnosis	U1
MEP-2__P05__Diagnosis	U1
Classical-Mono__868442__Diagnosis	U1
T CD8 Naive__P04__Diagnosis	U1
pre-DC-2__P04__Diagnosis	U1
CD4 TCM__P04__Relapse	U1
CD8 TEM__P04__Relapse	U1
B Memory-2__P26__Relapse	U1
MEP-Eryth-1__P04__Relapse	U1
NK-Mature__827494__Diagnosis	U1
MultiLin-GMP-1__P04__Relapse	U1
Non-Classical Mono-2__827494__Diagnosis	U1
Myeloid intermediate 2__P04__Relapse	U1
NK-Mature__P04__Relapse	U1
cDC1__P04__Relapse	U1
CD4 TCM__P05__Diagnosis	U1
CD8 TEM__P05__Diagnosis	U1
Classical-Mono__P05__Diagnosis	U1
cDC2-1__827494__Diagnosis	U1
cDC2-2__827494__Diagnosis	U1
Intermediate Mono-2__P05__Diagnosis	U1
LMPP-1-cycling__P05__Diagnosis	U1
MAIT__P05__Diagnosis	U1
MAIT__452198__Relapse	U1
MDP-2__P05__Diagnosis	U1
MEP-1__P05__Diagnosis	U1
pre-DC-3__827494__Diagnosis	U1
B Memory-2__868442__Diagnosis	U1
MEP-Eryth-2__P05__Relapse	U1
MKP-early__P05__Relapse	U1
MPP-MEP__868442__Diagnosis	U1
MPP-1__P05__Relapse	U1
CD4 TCM__P06__Relapse	U1
CD8 TEM__P06__Relapse	U1
NK-Mature__868442__Diagnosis	U1
MAIT__P06__Relapse	U1
MDP-1__P06__Relapse	U1
BMCP-1__P26__Relapse	U1
MultiLin-GMP-1__P06__Relapse	U1
cDC1__868442__Diagnosis	U1
NK-Mature__P06__Relapse	U1
cDC2-1__868442__Diagnosis	U1
Non-Classical Mono-1__P06__Relapse	U1
cDC2-2__868442__Diagnosis	U1
immNeu-1__868442__Diagnosis	U1
T CD4 Naive-1__P06__Relapse	U1
pre-DC-2__868442__Diagnosis	U1
pDC__430998__Diagnosis	U1
cDC2-2__430998__Diagnosis	U1
cDC2-1__430998__Diagnosis	U1
pre-DC-3__868442__Diagnosis	U1
preNeu__868442__Diagnosis	U1
CD4 TCM__P26__Relapse	U1
Non-Classical Mono-2__430998__Diagnosis	U1
NK-Mature__430998__Diagnosis	U1
B Memory-2__869586__Diagnosis	U1
Multilin-1__430998__Diagnosis	U1
pre-DC-3__P06__Diagnosis	U1
NK-Mature__P04__Diagnosis	U1
pre-DC-2__P06__Diagnosis	U1
cDC1__P06__Diagnosis	U1
Mono-1__868442__Diagnosis	U1
Mono-2__868442__Diagnosis	U1
MPP-MEP__P05__Relapse	U1
MultiLin-GMP-1__P05__Relapse	U1
MultiLin-GMP-2__P05__Relapse	U1
MultiLin-GMP-3__P05__Relapse	U1
MultiLin-GMP-1__868442__Diagnosis	U1
Multilin-2__P05__Relapse	U1
NK-Mature__P05__Relapse	U1
MultiLin-GMP-2__868442__Diagnosis	U1
B Memory-2__P06__Diagnosis	U1
CD4 TCM__P06__Diagnosis	U1
MultiLin-GMP-3__868442__Diagnosis	U1
Multilin-1__868442__Diagnosis	U1
Multilin-2__868442__Diagnosis	U1
Myeloid intermediate 1__868442__Diagnosis	U1
Intermediate Mono-3__P06__Diagnosis	U1
MAIT__P06__Diagnosis	U1
Mono-1__P06__Diagnosis	U1
Mono-2__P06__Diagnosis	U1
MultiLin-GMP-1__P06__Diagnosis	U1
Myeloid intermediate 2__868442__Diagnosis	U1
Myeloid intermediate 3__P06__Diagnosis	U1
NK-Mature__P06__Diagnosis	U1
Non-Classical Mono-2__P06__Diagnosis	U1
cDC2-1__P06__Diagnosis	U1
MEP-Eryth-2__827494__Diagnosis	U1
MEP-Eryth-1__827494__Diagnosis	U1
MAIT__P04__Diagnosis	U1
MDP-1__P03__Diagnosis	U1
MultiLin-GMP-1__P01__Diagnosis	U1
MDP-2__P01__Diagnosis	U1
MDP-3__P03__Diagnosis	U1
CLP__P01__Diagnosis	U1
CD8 TEM__P01__Diagnosis	U1
CD4 TCM__P01__Diagnosis	U1
MPP-MEP__P03__Diagnosis	U1
cDC1__P26__Diagnosis	U1
Multilin-2__P03__Diagnosis	U1
NK-Mature__P03__Diagnosis	U1
Pro-B-Early__P03__Diagnosis	U1
Pro-B-cycling-1__P03__Diagnosis	U1
T CD8 Naive__P03__Diagnosis	U1
pDC__P03__Diagnosis	U1
pre-DC-1__P03__Diagnosis	U1
B Memory-1__P26__Relapse	U1
pre-DC-3__P03__Diagnosis	U1
pre-DC-3__508084__Relapse	U1
pre-DC-2__508084__Relapse	U1
pDC__508084__Relapse	U1
CD4 TCM__P03__Relapse	U1
CD8 TEM__P03__Relapse	U1
cDC2-2__508084__Relapse	U1
cDC2-1__508084__Relapse	U1
MAIT__P03__Diagnosis	U1
cDC1__508084__Relapse	U1
LMPP-2__P03__Diagnosis	U1
MultiLin-GMP-3__P01__Diagnosis	U1
CD4 TCM__P02__Relapse	U1
Mono-1__P02__Relapse	U1
Mono-2__P02__Relapse	U1
NK-Mature__P02__Diagnosis	U1
immNeu-2__Pt-20_Dx	U1
NK-Mature__P02__Relapse	U1
T CD4 Naive-1__P02__Relapse	U1
CD4 TCM__P02__Diagnosis	U1
cDC2-1__P02__Relapse	U1
BMCP-1__P02__Diagnosis	U1
pDC__P02__Relapse	U1
B Memory-2__P02__Diagnosis	U1
preNeu__P01__Relapse	U1
ASDC__P03__Diagnosis	U1
CD4 TCM__P03__Diagnosis	U1
NK-Mature__P01__Relapse	U1
CD8 TEM__P03__Diagnosis	U1
MultiLin-GMP-1__P01__Relapse	U1
CLP__P03__Diagnosis	U1
ERP-1__P03__Diagnosis	U1
CD8 TEM__P01__Relapse	U1
CD4 TCM__P01__Relapse	U1
T CD4 Naive-1__P01__Diagnosis	U1
NK-Mature__P01__Diagnosis	U1
Myeloid intermediate 2__P01__Diagnosis	U1
LMPP-1-cycling__P03__Diagnosis	U1
Mono-2__430998__Diagnosis	U1
LMPP-1__P03__Relapse	U1
LMPP-1-cycling__P03__Relapse	U1
MultiLin-GMP-2__P03__Relapse	U1
MultiLin-GMP-3__P03__Relapse	U1
CD8 TEM__508084__Relapse	U1
CD4 TCM__508084__Relapse	U1
B Memory-2__508084__Relapse	U1
B Memory-1__508084__Relapse	U1
pre-DC-2__508084__Diagnosis	U1
pDC__508084__Diagnosis	U1
cMOP__508084__Diagnosis	U1
cDC2-2__508084__Diagnosis	U1
Multilin-2__P03__Relapse	U1
MultiLin-GMP-1__508084__Diagnosis	U1
NK-Mature__P03__Relapse	U1
MPP-MEP__508084__Diagnosis	U1
pDC__P03__Relapse	U1
LMPP-2__508084__Diagnosis	U1
LMPP-1-cycling__508084__Diagnosis	U1
CD4 TCM__P04__Diagnosis	U1
CD8 TEM__P04__Diagnosis	U1
CD4 TCM__508084__Diagnosis	U1
B Memory-2__508084__Diagnosis	U1
B Memory-1__508084__Diagnosis	U1
LMPP-1-cycling__827494__Diagnosis	U1
MAIT__827494__Diagnosis	U1
MEP-1__827494__Diagnosis	U1
MultiLin-GMP-1__P03__Relapse	U1
T CD8 Naive__508084__Relapse	U1
MPP-MEP__P03__Relapse	U1
Intermediate Mono-3__508084__Relapse	U1
Non-Classical Mono-2__508084__Relapse	U1
NK-Mature__508084__Relapse	U1
Myeloid intermediate 3__508084__Relapse	U1
Myeloid intermediate 2__508084__Relapse	U1
LMPP-2__P03__Relapse	U1
Multilin-2__508084__Relapse	U1
Multilin-1__508084__Relapse	U1
