SampleID	0	ASDC	B Memory-1	B Memory-2	BMCP-1	BMCP-2	CD4 TCM	CD8 TEM	CLP	Classical-Mono	ERP-1	ERP-2	ERP-3	ERP-4	ERP-5	ERP-6	ERP-7	ERP-8	Erythroblast-1	Erythroblast-2	Erythroblast-3	HSC-1	HSC-2	Intermediate Mono-1	Intermediate Mono-2	Intermediate Mono-3	LMPP-1	LMPP-1-cycling	LMPP-2	MAIT	MDP-1	MDP-2	MDP-3	MDP-4	MDP-5	MDP-6	MEP-1	MEP-2	MEP-Eryth-1	MEP-Eryth-2	MK-Platelet	MKP-early	MKP-late	MPP-1	MPP-2	MPP-MEP	MSC Fibroblast-1	MSC Fibroblast-2	Mac	Mono-1	Mono-2	MultiLin-GMP-1	MultiLin-GMP-2	MultiLin-GMP-3	Multilin-1	Multilin-2	Myeloid intermediate 1	Myeloid intermediate 2	Myeloid intermediate 3	NK-Mature	Non-Classical Mono-1	Non-Classical Mono-2	Osteoblast	Plasma Cell	Pro-B-1	Pro-B-2	Pro-B-3	Pro-B-Early	Pro-B-Early-cycling	Pro-B-cycling-1	Pro-B-cycling-2	Stromal Vascular	T CD4 Activated	T CD4 Naive-1	T CD4 Naive-2	T CD8 Naive	Transitional-B-1	Transitional-B-2	cDC1	cDC2-1	cDC2-2	cMOP	immNeu-1	immNeu-2	pDC	pre-B	pre-DC-1	pre-DC-2	pre-DC-3	preNeu
NYU-1:HTO2-SRR16208956	0	23	3	0	2	0	312	343	0	48	29	21	5	21	31	41	34	75	46	12	498	0	0	2017	40	141	5	1	0	83	7	2	8	2	3	2	6	23	8	8	1	6	0	2	0	11	1	0	2	10	27	16	5	0	0	0	2	9	13	763	8	986	0	3	0	0	0	0	0	1	1	0	53	41	1	3	0	0	6	31	348	10	1	0	68	0	17	5	31	9
NYU-1:HTO3-SRR16208954	0	0	441	13	0	0	672	358	0	11	1	0	0	1	0	0	0	3	0	0	4	0	5	975	15	72	0	1	1	174	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	2	10	0	0	0	0	0	1	2	401	1	84	1	0	0	0	0	0	0	0	0	0	96	16	0	0	0	0	1	0	16	0	0	0	2	0	0	1	0	0
NYU-1:HTO3-SRR16208955	0	0	527	19	0	0	765	408	0	5	1	1	0	3	0	1	2	2	1	0	1	0	1	1165	23	104	0	2	1	226	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	1	6	0	0	0	0	0	0	0	453	1	90	0	1	0	0	0	0	0	0	0	0	105	15	0	1	0	0	3	3	15	0	0	0	0	0	0	0	0	1
NYU-1:HTO5-SRR16208954	0	1	158	26	3	0	991	824	0	5	0	0	0	0	0	1	2	6	2	0	4	0	0	83	9	22	0	0	2	131	2	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	1	0	4	7	0	0	1	0	0	0	1	1055	0	13	1	10	0	0	0	0	0	1	0	0	68	115	0	3	0	0	1	5	27	0	0	0	6	0	8	3	2	0
NYU-1:HTO5-SRR16208955	0	1	179	32	2	0	1143	819	0	7	1	0	0	0	1	1	3	4	0	0	3	0	0	103	22	13	0	1	2	145	2	0	0	1	0	2	1	0	0	0	3	0	0	1	0	1	0	0	1	0	6	5	0	0	0	0	0	0	0	1115	0	8	0	11	0	0	0	0	0	0	0	0	70	111	0	1	0	0	1	4	27	1	0	0	8	0	3	2	2	0
NYU-1:HTO6-SRR16208954	0	1	121	13	1	0	254	558	0	10	2	0	0	4	4	8	4	9	3	0	5	0	0	203	58	59	0	0	1	58	1	0	0	0	1	0	2	1	0	0	0	3	0	1	0	3	0	0	0	0	1	6	0	0	0	0	1	0	0	558	6	26	0	14	0	0	0	0	0	0	0	0	22	21	0	1	0	0	1	8	42	1	0	0	10	0	6	2	1	0
NYU-1:HTO6-SRR16208955	0	10	141	22	3	0	275	607	0	15	1	1	0	1	1	3	7	10	5	1	5	0	1	213	61	64	0	1	0	93	2	0	0	0	1	1	0	2	1	1	0	2	1	0	0	3	0	0	0	1	6	9	0	1	0	0	0	0	1	598	6	47	2	14	0	0	0	0	0	1	0	0	26	18	0	2	0	0	0	13	49	0	0	0	9	0	7	1	4	1
NYU-1:MDS1123	0	0	25	7	22	0	61	108	2	31	1	1	0	2	3	3	15	26	8	0	1	0	0	71	57	108	21	20	7	22	7	19	3	0	1	1	2	16	1	2	0	1	0	11	3	140	0	0	0	23	57	71	370	29	20	5	8	62	8	211	33	25	3	42	0	0	1	0	0	0	1	0	0	25	0	5	0	0	11	19	11	1	3	0	42	0	1	3	2	35
NYU-1:MDS585	0	3	29	2	40	0	110	121	0	62	27	4	6	2	5	9	8	72	22	1	0	1	17	126	67	254	21	29	7	81	24	25	4	0	0	0	9	48	11	15	2	8	1	27	4	252	0	0	0	17	80	180	495	52	21	12	3	125	6	109	3	49	0	30	0	0	0	0	0	1	0	0	30	61	1	5	0	0	30	22	67	1	5	0	10	1	4	8	14	51
NYU-1:NA-SRR16208928	0	1	18	9	4	0	211	128	9	64	0	1	0	0	1	3	7	21	10	2	13	0	0	293	376	704	0	106	25	172	15	15	7	0	0	0	3	7	0	1	0	0	0	62	0	92	0	0	0	12	38	66	1	0	17	1	0	5	4	191	0	106	0	21	1	0	1	0	1	2	2	0	3	202	0	8	0	0	139	171	61	4	0	1	5	0	20	44	74	2
NYU-1:NA-SRR16208929	0	0	17	6	10	0	188	114	4	58	1	0	0	3	2	1	4	17	8	0	14	0	0	331	396	703	6	88	16	139	14	12	2	1	0	1	4	8	2	1	0	0	0	61	3	71	0	0	0	10	32	76	1	0	11	1	0	3	3	191	0	92	0	19	2	0	0	1	1	3	3	0	3	146	0	5	0	0	149	148	70	8	0	0	11	0	14	37	90	2
NYU-1:NA-SRR16208930	0	1	53	0	14	0	34	49	60	382	7	6	0	11	28	18	86	207	134	12	207	0	0	387	108	300	19	118	51	21	14	135	11	3	2	23	83	21	31	12	0	14	4	13	2	1379	0	0	1	70	284	641	225	53	169	27	95	32	37	53	7	163	1	5	31	1	51	20	32	19	91	0	10	33	0	10	30	3	24	55	102	66	67	3	132	250	33	15	16	471
NYU-1:NA-SRR16208931	0	7	46	1	10	0	25	38	49	338	9	6	0	5	23	18	93	180	168	11	200	0	0	416	99	325	34	96	47	19	21	139	17	7	4	24	84	35	14	16	1	24	7	11	1	1324	1	0	0	55	285	614	242	65	176	18	85	39	22	46	4	160	2	8	46	1	56	17	37	26	89	0	2	24	1	7	18	0	32	57	112	80	78	2	127	245	27	15	17	483
