mutation	model	modality	cv_mean	cv_std	weight
mut_FLT3	HistGB	Metabolite	0.757	0.016	0.156
mut_FLT3	HistGB	RNA	0.835	0.015	0.204
mut_FLT3	NaiveB	ADT	0.779	0.09	0.143
mut_FLT3	NaiveB	Cell-comm	0.556	0.031	0.05
mut_FLT3	NaiveB	Composition	0.596	0.047	0.071
mut_FLT3	NaiveB	GRN	0.7	0.023	0.198
mut_FLT3	NaiveB	LSC	0.633	0.077	0.076
mut_FLT3	NaiveB	Lipid	0.734	0.026	0.222
mut_FLT3	NaiveB	Metabolite	0.728	0.033	0.199
mut_FLT3	NaiveB	RNA	0.596	0.121	0.041
mut_FLT3	kNN	ADT	0.728	0.056	0.131
mut_FLT3	kNN	Cell-comm	0.498	0.002	0.0
mut_FLT3	kNN	Composition	0.743	0.05	0.147
mut_FLT3	kNN	GRN	0.729	0.015	0.216
mut_FLT3	kNN	LSC	0.562	0.024	0.051
mut_FLT3	kNN	Lipid	0.741	0.045	0.154
mut_FLT3	kNN	Metabolite	0.722	0.062	0.12
mut_FLT3	kNN	RNA	0.758	0.037	0.181
mut_FLT3	MLP	ADT	0.644	0.047	0.31
mut_FLT3	MLP	Cell-comm	0.614	0.14	0.125
mut_FLT3	MLP	Composition	0.496	0.055	0.0
mut_FLT3	MLP	GRN	0.616	0.037	0.276
mut_FLT3	MLP	LSC	0.443	0.031	0.0
mut_FLT3	MLP	Lipid	0.559	0.1	0.081
mut_FLT3	MLP	Metabolite	0.618	0.069	0.208
mut_FLT3	MLP	RNA	0.484	0.05	0.0
mut_FLT3-ITD	logL2	ADT	0.821	0.063	0.178
mut_FLT3-ITD	logL2	Cell-comm	0.637	0.14	0.045
mut_FLT3-ITD	logL2	Composition	0.732	0.159	0.069
mut_FLT3-ITD	logL2	GRN	0.816	0.105	0.127
mut_FLT3-ITD	logL2	LSC	0.689	0.061	0.107
mut_FLT3-ITD	logL2	Lipid	0.821	0.09	0.143
mut_FLT3-ITD	logL2	Metabolite	0.805	0.081	0.145
mut_FLT3-ITD	logL2	RNA	0.835	0.062	0.186
mut_FLT3-ITD	logL1	ADT	0.768	0.055	0.146
mut_FLT3-ITD	logL1	Cell-comm	0.51	0.02	0.008
mut_FLT3-ITD	logL1	Composition	0.663	0.021	0.131
mut_FLT3-ITD	logL1	GRN	0.817	0.079	0.141
mut_FLT3-ITD	logL1	LSC	0.683	0.058	0.098
mut_FLT3-ITD	logL1	Lipid	0.833	0.065	0.167
mut_FLT3-ITD	logL1	Metabolite	0.781	0.059	0.149
mut_FLT3-ITD	logL1	RNA	0.757	0.042	0.161
mut_FLT3-ITD	elastic	ADT	0.804	0.054	0.164
mut_FLT3-ITD	elastic	Cell-comm	0.645	0.042	0.088
mut_FLT3-ITD	elastic	Composition	0.685	0.118	0.062
mut_FLT3-ITD	elastic	GRN	0.827	0.086	0.134
